nbdates	date	aot_440_daily	pm10	angstrom440_870	angstrom440_675
34	2010-10-22	0.0647702941	20.923	1.2727962059	1.4060116471
13	2010-10-25	0.1025907692	13.231	0.7280153077	0.8545842308
17	2010-10-26	0.0913365882	16.708	0.6214934118	0.7764557647
17	2010-10-28	0.0585712941	14.000	2.9093702941	2.6873509412
15	2010-11-05	0.1339483333	24.167	0.4270993333	0.5323920667
20	2010-11-07	0.0821921500	15.083	1.1495230500	1.3163911500
20	2010-11-20	0.0934891000	16.250	0.9660291000	1.0660894000
25	2010-11-24	0.0984384000	20.292	0.4641390800	0.5784365600
31	2010-11-26	0.0569610000	16.000	1.5369210968	1.4418449032
38	2010-11-29	0.0723692105	15.458	0.9035108421	0.9973751842
14	2010-11-30	0.0583377857	16.333	0.8372301429	0.9986828571
36	2010-12-01	0.0506231389	23.083	1.9099284722	1.8909079722
27	2010-12-03	0.0734732593	20.333	1.4061618519	1.5324862222
12	2010-12-04	0.0623998333	20.083	1.8252308333	1.8598754167
15	2010-12-09	0.1180592667	21.333	0.4784748667	0.5715930667
27	2010-12-10	0.1009820370	21.458	0.5017863704	0.6036158519
34	2010-12-13	0.0488625882	20.417	2.1629156471	2.2110160000
16	2010-12-14	0.0674953125	17.458	0.9427825625	1.1058930000
20	2010-12-17	0.1021743500	16.667	0.9395678000	1.0673380000
31	2010-12-19	0.0802146129	16.917	0.7257899032	0.8712550968
22	2010-12-20	0.0780572727	13.500	1.0125601364	1.1557389545
15	2010-12-21	0.0742282000	17.292	1.3867212667	1.5062777333
15	2010-12-24	0.1371493333	23.917	1.0849386000	1.1749709333
23	2010-12-27	0.1792627826	13.083	0.8980410435	0.9377919565
17	2010-12-28	0.1124149412	11.792	1.2987529412	1.2658965294
17	2010-12-29	0.0728670588	12.750	1.1390896471	1.2889645882
16	2011-01-07	0.2168769375	28.542	0.6061754375	0.6215382500
13	2011-01-11	0.1211872308	20.875	0.2638474615	0.3076433077
33	2011-01-14	0.1497580606	26.125	0.9319127879	0.9631331212
34	2011-01-15	0.0756968529	15.542	0.8032569706	0.9133206471
31	2011-01-16	0.0608230000	17.750	1.2934929677	1.3613961290
16	2011-01-17	0.0721868125	18.708	0.4414873750	0.5884843750
26	2011-01-18	0.0836267308	20.500	0.5800923462	0.6978068077
13	2011-01-19	0.0454852308	13.500	0.9680846923	1.1532737692
35	2011-01-21	0.0775467429	18.750	0.7042239714	0.8402793143
25	2011-01-22	0.0886932800	16.333	0.5249403200	0.6917465600
21	2011-01-23	0.0833680952	17.792	0.6554331429	0.8110865714
37	2011-01-27	0.0619052432	15.708	0.8204943784	0.9674974054
46	2011-01-28	0.0682953043	17.333	0.9752288261	1.0788000435
36	2011-01-29	0.0575530556	16.875	1.0265412222	1.1725128611
35	2011-01-30	0.0529304000	11.375	1.2018136857	1.3353689714
19	2011-01-31	0.0463627368	11.458	1.0297996316	1.1860899474
27	2011-02-01	0.0557589259	13.250	1.8120764815	1.8270461852
18	2011-02-05	0.0631956111	15.524	0.9833653333	1.0630881111
28	2011-02-07	0.1027823929	19.292	0.3840193571	0.4822050000
16	2011-02-08	0.0666154375	18.217	0.9534510625	1.0957298750
18	2011-02-09	0.0945285556	22.917	0.3950429444	0.4862628889
12	2011-02-10	0.0677521667	21.833	0.3989540833	0.5179683333
12	2011-11-03	0.4011381667	89.250	0.1688145000	0.1395690833
23	2011-11-04	0.2013688696	58.417	0.1781346087	0.1841274783
20	2011-11-05	0.1182564500	22.625	0.1942482500	0.2494666500
38	2011-11-08	0.1393540789	43.792	0.3232439474	0.3616734211
27	2011-11-11	0.1126378148	26.125	0.3284040741	0.3632709630
28	2011-11-12	0.1221662500	24.333	0.3358087143	0.3593105714
30	2011-11-13	0.1247364667	17.833	0.4070562000	0.4426777667
44	2011-11-14	0.0902681364	20.429	0.7583148636	0.8047719318
52	2011-11-16	0.0627398269	19.375	0.7401892115	0.7436210000
22	2011-11-17	0.0802743636	16.958	0.5665100909	0.5828154545
39	2011-11-20	0.0531741795	15.292	1.1085635897	1.0766343590
44	2011-11-21	0.0634677273	26.375	1.3615332500	1.3567548864
41	2011-11-22	0.0646017317	21.542	1.2676446341	1.3237597805
37	2011-11-23	0.0513984865	15.083	1.0235005946	1.0968673243
22	2011-11-24	0.0578852273	16.083	0.4483483182	0.5265662273
21	2011-11-26	0.1038001905	20.875	0.2698009524	0.3214660000
22	2011-11-30	0.1113395909	20.182	1.6325830000	1.7004782273
24	2011-12-01	0.1426851667	20.500	1.4664553750	1.3961947917
12	2011-12-10	0.0566551667	19.958	1.2155320833	1.3035629167
30	2011-12-11	0.0821415667	14.958	1.5403847000	1.5414343000
31	2011-12-12	0.0971141935	20.000	1.0171269355	1.1125533871
21	2011-12-13	0.0792564286	15.667	0.7062648571	0.7820284286
12	2011-12-14	0.1558695833	24.542	1.0518206667	1.1037752500
53	2011-12-15	0.0501784906	15.375	1.1959896792	1.2597575094
13	2011-12-16	0.0828663077	20.625	0.4372462308	0.4617196923
25	2011-12-17	0.0560570400	19.083	0.6305687200	0.6664466800
14	2011-12-19	0.0928599286	22.875	0.7565582143	0.8220692143
18	2011-12-21	0.0920173889	18.000	0.4405535000	0.5130897778
31	2011-12-23	0.0795309355	19.042	0.2895990645	0.3337240968
24	2011-12-24	0.1071165417	17.542	0.3840698333	0.4442791250
