nbdates	date	aot_440_daily	pm25	angstrom440_870	angstrom440_675
25	2007-09-11	0.3179792000	5.1000000	0.2896345600	0.3710400400
24	2007-09-12	0.2908009583	7.7000000	0.2935705000	0.3635830833
28	2007-09-13	0.1087760000	3.3000000	0.3649173571	0.6742028214
12	2007-09-14	0.0884858333	2.6000000	0.5335662500	0.8568548333
22	2007-09-15	0.0977073182	2.7000000	0.5384827727	0.8550778636
34	2007-09-19	0.0921968824	2.8000000	0.7135287353	1.1207947353
31	2007-09-22	0.1065007742	5.1000000	0.4509037097	0.7281955161
14	2007-09-23	0.0730903571	3.8000000	0.4082567857	0.8272285000
26	2007-09-24	0.0663548846	3.4000000	0.8441117308	1.2546810000
44	2007-09-29	0.1638801818	8.6000000	0.2320430000	0.3745617727
36	2007-10-02	0.1404776389	4.2000000	0.4086139167	0.6314920000
12	2007-10-09	0.1052270833	2.7000000	0.3733079167	0.6896531667
24	2007-10-10	0.1587969583	3.7000000	0.3054925417	0.5091125000
15	2007-10-12	0.4943938667	11.4000000	0.1225484000	0.1917716667
27	2007-10-13	0.1816315556	8.0000000	0.1515829630	0.2830015556
30	2007-10-14	0.0732213667	5.3000000	0.2972890333	0.5920229667
24	2007-10-15	0.1419905417	7.7000000	0.0829172917	0.2331546667
28	2007-10-17	0.0865915000	2.7000000	0.2159790357	0.5213629286
25	2007-10-18	0.0644179600	2.2000000	0.3357520400	0.8386991600
31	2007-10-19	0.0665728710	2.2000000	0.6981649032	1.1798785161
27	2007-10-20	0.0639303704	1.6000000	0.4799546296	0.9144003704
18	2007-10-21	0.0609519444	1.9000000	0.4673281667	0.8589811667
16	2007-10-22	0.0645221875	1.9000000	0.4228136875	0.9334081250
16	2007-10-23	0.0615390625	2.1000000	0.2143123125	0.6123081875
19	2007-10-24	0.0483597368	1.7000000	0.3089244737	0.8287267368
14	2007-10-31	0.2979188571	13.8000000	0.1315440000	0.2042065714
21	2007-11-01	0.2096065238	9.3000000	0.2202795238	0.3173682857
25	2007-11-10	0.0891355200	7.3000000	0.7299353200	1.1573274000
27	2007-11-11	0.0947078889	1.6000000	0.2555781481	0.5283905556
18	2007-11-12	0.0718626667	3.4000000	0.4703613333	0.7743673889
27	2007-11-14	0.1452463704	9.2000000	0.5339011111	0.6593125926
20	2007-11-16	0.1360138000	11.4000000	0.2841576500	0.4450603000
13	2007-11-17	0.2254171538	13.2000000	0.8682715385	0.9905015385
16	2007-11-18	0.1424691250	6.8000000	0.2548506875	0.3712288750
13	2007-11-22	0.1086359231	4.2000000	0.4265853846	0.6436751538
39	2007-11-23	0.0736183590	5.3000000	0.4500020000	0.7304520513
24	2007-11-25	0.1152195000	4.0000000	0.3047905417	0.4866204583
21	2007-11-26	0.1178932857	3.7000000	0.3651053333	0.5616070952
22	2007-11-27	0.1136877273	3.8000000	0.2830435000	0.4794664091
26	2007-11-28	0.1054542692	3.8000000	0.2116965385	0.4099148462
31	2007-11-29	0.0912573548	3.8000000	0.1133844194	0.2931522258
28	2007-11-30	0.1129988571	4.1000000	0.0271715714	0.1672215357
15	2007-12-01	0.0816075333	3.0000000	0.1193801333	0.3357327333
33	2007-12-03	0.0909327576	3.9000000	0.1574416061	0.3415190909
13	2007-12-06	0.0780389231	3.0000000	0.8484425385	1.2103355385
14	2007-12-07	0.0734929286	3.0000000	0.5076664286	0.7748425714
16	2007-12-08	0.1026231875	4.2000000	0.0023543125	0.1553418750
17	2007-12-09	0.1075963529	4.1000000	0.0497511176	0.1987969412
14	2007-12-12	0.1498669286	4.8000000	0.0269351429	0.1384024286
36	2008-09-27	0.0869445556	3.0000000	0.2994091667	0.2994091667
37	2008-09-28	0.0820114595	3.3000000	0.4930484054	0.4930484054
24	2008-09-29	0.0940497083	3.5000000	0.4347072500	0.4347072500
27	2008-09-30	0.0761166667	3.3000000	0.6780393333	0.6780393333
27	2008-10-03	0.0593136296	2.3000000	0.4945508519	0.4945508519
24	2008-10-06	0.0780550000	2.8000000	0.8201400833	0.8201400833
18	2008-10-09	0.0753825000	3.1000000	1.0525564444	1.0525564444
38	2008-10-18	0.1291811579	3.9000000	0.4532636579	0.4532636579
22	2008-11-14	0.0946957273	2.9000000	0.3986488182	0.3986488182
21	2008-11-20	0.0694270952	4.6000000	0.6197899524	0.6197899524
27	2008-11-26	0.0751911481	3.6000000	0.3977743704	0.3977743704
23	2008-11-29	0.0494073478	2.9000000	0.7403853043	0.7403853043
39	2008-12-08	0.0350018974	1.7000000	0.6354563590	0.6354563590
12	2008-12-11	0.1155140833	3.7000000	0.0131219167	0.0131219167
12	2008-12-14	0.0669145833	2.7000000	0.1997856667	0.1997856667
33	2008-12-17	0.0517004848	3.8000000	0.2356230909	0.2356230909
18	2008-12-20	0.0502900000	2.8000000	0.3659991667	0.3659991667
13	2008-12-23	0.0873470000	3.6000000	0.1704550000	0.1704550000
