nbdates	date	aot_440_daily	angstrom440_870
36	2010-12-01	0.0506231389	1.9099284722
27	2010-12-03	0.0734732593	1.4061618519
12	2010-12-04	0.0623998333	1.8252308333
15	2010-12-09	0.1180592667	0.4784748667
27	2010-12-10	0.1009820370	0.5017863704
34	2010-12-13	0.0488625882	2.1629156471
16	2010-12-14	0.0674953125	0.9427825625
20	2010-12-17	0.1021743500	0.9395678000
31	2010-12-19	0.0802146129	0.7257899032
22	2010-12-20	0.0780572727	1.0125601364
15	2010-12-21	0.0742282000	1.3867212667
15	2010-12-24	0.1371493333	1.0849386000
23	2010-12-27	0.1792627826	0.8980410435
17	2010-12-28	0.1124149412	1.2987529412
17	2010-12-29	0.0728670588	1.1390896471
16	2011-01-07	0.2168769375	0.6061754375
13	2011-01-11	0.1211872308	0.2638474615
33	2011-01-14	0.1497580606	0.9319127879
34	2011-01-15	0.0756968529	0.8032569706
31	2011-01-16	0.0608230000	1.2934929677
16	2011-01-17	0.0721868125	0.4414873750
26	2011-01-18	0.0836267308	0.5800923462
13	2011-01-19	0.0454852308	0.9680846923
35	2011-01-21	0.0775467429	0.7042239714
25	2011-01-22	0.0886932800	0.5249403200
21	2011-01-23	0.0833680952	0.6554331429
37	2011-01-27	0.0619052432	0.8204943784
46	2011-01-28	0.0682953043	0.9752288261
36	2011-01-29	0.0575530556	1.0265412222
35	2011-01-30	0.0529304000	1.2018136857
19	2011-01-31	0.0463627368	1.0297996316
27	2011-02-01	0.0557589259	1.8120764815
18	2011-02-05	0.0631956111	0.9833653333
28	2011-02-07	0.1027823929	0.3840193571
16	2011-02-08	0.0666154375	0.9534510625
18	2011-02-09	0.0945285556	0.3950429444
12	2011-02-10	0.0677521667	0.3989540833
12	2011-11-03	0.4011381667	0.1688145000
23	2011-11-04	0.2013688696	0.1781346087
20	2011-11-05	0.1182564500	0.1942482500
38	2011-11-08	0.1393540789	0.3232439474
27	2011-11-11	0.1126378148	0.3284040741
28	2011-11-12	0.1221662500	0.3358087143
30	2011-11-13	0.1247364667	0.4070562000
44	2011-11-14	0.0902681364	0.7583148636
52	2011-11-16	0.0627398269	0.7401892115
22	2011-11-17	0.0802743636	0.5665100909
39	2011-11-20	0.0531741795	1.1085635897
44	2011-11-21	0.0634677273	1.3615332500
41	2011-11-22	0.0646017317	1.2676446341
37	2011-11-23	0.0513984865	1.0235005946
22	2011-11-24	0.0578852273	0.4483483182
21	2011-11-26	0.1038001905	0.2698009524
22	2011-11-30	0.1113395909	1.6325830000
24	2011-12-01	0.1426851667	1.4664553750
12	2011-12-10	0.0566551667	1.2155320833
30	2011-12-11	0.0821415667	1.5403847000
31	2011-12-12	0.0971141935	1.0171269355
21	2011-12-13	0.0792564286	0.7062648571
12	2011-12-14	0.1558695833	1.0518206667
53	2011-12-15	0.0501784906	1.1959896792
13	2011-12-16	0.0828663077	0.4372462308
25	2011-12-17	0.0560570400	0.6305687200
14	2011-12-19	0.0928599286	0.7565582143
18	2011-12-21	0.0920173889	0.4405535000
31	2011-12-23	0.0795309355	0.2895990645
24	2011-12-24	0.1071165417	0.3840698333
23	2011-12-25	0.1143056087	0.5924210870
24	2011-12-26	0.0750833333	0.4975501250
38	2011-12-27	0.0528093947	0.6456586316
26	2011-12-28	0.0639117308	0.4997430000
21	2011-12-29	0.0874188571	0.3002053810
15	2011-12-31	0.1084699333	0.1277773333
20	2012-01-03	0.1308140500	0.0965852000
37	2012-01-04	0.0917022162	0.2036077838
24	2012-01-05	0.0748106667	0.3121152500
51	2012-01-06	0.0711423137	0.3059945098
19	2012-01-07	0.0674606842	0.3627020526
12	2012-01-09	0.0761080000	0.2685283333
27	2012-01-10	0.0664106296	0.4640631852
18	2012-01-11	0.0959241667	1.1861030000
26	2012-01-12	0.0670818846	0.6482271923
13	2012-01-13	0.1041533846	0.3440406154
14	2012-01-15	0.0737859286	0.2512763571
23	2012-01-16	0.0787022609	0.2343360000
43	2012-01-18	0.0659930233	0.5492602791
45	2012-01-19	0.0787816444	0.4372168000
40	2012-01-20	0.0870244250	0.2756783250
32	2012-01-21	0.0738163750	0.4000338750
19	2012-01-22	0.0655825263	0.3788866842
37	2012-01-23	0.0531156757	0.6365054324
47	2012-01-25	0.0474755957	0.8268732766
29	2012-01-26	0.0637054828	0.5825350345
16	2012-01-27	0.0715651875	0.4168530000
33	2012-02-02	0.0978809091	0.2416818182
24	2012-02-04	0.0903667917	0.3276947083
16	2012-02-05	0.0868122500	0.3544850000
43	2012-02-06	0.0848467907	0.2677319535
27	2012-02-09	0.0904625556	0.3925180000
33	2012-02-12	0.0720370000	0.2424635758
35	2012-02-13	0.0503191429	0.4822843714
52	2012-02-14	0.0546263462	0.4686787500
14	2012-02-15	0.0962652857	0.3610816429
31	2012-02-16	0.0887478710	0.3698670968
19	2012-02-17	0.0813912632	0.5008426842
43	2012-02-18	0.0462462093	0.7433071628
43	2012-02-19	0.0535190000	0.6410383023
18	2012-02-21	0.0631097778	0.4652442778
37	2012-02-23	0.0779402162	0.2920812703
13	2012-02-25	0.1170314615	0.3790768462
31	2012-02-26	0.1124279032	0.1552248387
15	2012-03-05	0.1004768000	0.1984500000
17	2012-03-06	0.1599690588	0.0940605882
17	2012-03-07	0.1729202941	0.1552698824
30	2012-03-08	0.1036389667	0.2263401667
35	2012-03-13	0.1013563429	0.7317996286
13	2012-03-14	0.0902045385	0.4089886923
22	2012-04-10	0.0857833636	0.6070218182
12	2012-04-11	0.1021618333	0.4384453333
15	2012-04-12	0.1217634667	0.3802946667
20	2012-04-13	0.1204777500	0.5568481500
19	2012-04-22	0.0963667895	0.5780987895
30	2012-04-23	0.1180715333	0.4312574667
13	2012-04-27	0.0806386154	0.6446393077
21	2012-04-28	0.0864518571	0.3694271429
18	2012-04-30	0.1196756111	0.3774115556
24	2012-05-15	0.1398699167	0.5175785417
15	2012-05-18	0.2324870667	0.3187170000
13	2012-05-20	0.1866546923	0.3229548462
25	2012-05-21	0.2377381600	0.2268286000
25	2012-05-22	0.2103266400	0.2166760800
14	2012-05-23	0.2287218571	0.2291257143
29	2012-05-24	0.1332188276	0.3049984138
29	2012-05-25	0.1534676207	0.3449275862
34	2012-05-27	0.1065330000	0.6417984706
33	2012-05-28	0.1873906364	0.3323218182
38	2012-05-29	0.2324328158	0.1383046316
13	2012-05-30	0.3116354615	0.1397329231
13	2012-06-01	0.4409334615	0.0842831538
20	2012-06-02	0.4130533500	0.1123802500
44	2012-06-03	0.4584889318	0.1567374318
56	2012-06-04	0.3276988214	0.1646953571
35	2012-06-05	0.0953570286	0.2711932286
22	2012-06-07	0.2873090000	0.0595898636
35	2012-06-09	0.1217313714	0.2766925429
25	2012-06-10	0.1665230000	0.0942517600
17	2012-06-12	0.3693060000	0.0644701176
24	2012-06-17	0.5162866667	0.0179082083
22	2012-06-18	0.2608945455	0.0674421364
12	2012-06-19	0.2253115833	0.0406956667
32	2012-06-21	0.4930799688	0.0403618438
40	2012-06-22	0.4456202250	0.0599224750
25	2012-06-23	0.0967768800	0.1946223200
47	2012-06-24	0.1431493830	0.1098574468
26	2012-06-25	0.2278875769	0.0961415769
20	2012-06-26	0.4941088500	0.1726862000
24	2012-06-27	0.5211415417	0.0890012083
30	2012-06-28	0.1752485333	0.1743716333
39	2012-06-29	0.2100028718	0.1316308718
14	2012-06-30	0.1711039286	0.1270411429
12	2012-07-03	0.3255380000	0.0658664167
15	2012-07-05	0.5474586000	0.0938440000
43	2012-07-08	0.0471269070	0.2708686744
30	2012-07-09	0.1862132667	0.1008384667
19	2012-07-10	0.3797505789	0.0544279474
14	2012-07-11	0.3647162143	0.0971552143
13	2012-07-12	0.1319934615	0.2267232308
21	2012-07-13	0.0527752857	0.0338786190
28	2012-07-16	0.4500082500	0.1381830000
15	2012-07-17	0.2632808667	0.1851973333
18	2012-07-22	0.5240697778	0.1272573889
17	2012-07-23	0.3128811176	0.1895730000
40	2012-07-24	0.3690484750	0.1143194000
41	2012-07-25	0.3353435610	0.1637185122
17	2012-07-26	0.3070975882	0.1731615294
33	2012-07-27	0.1487849091	0.2059685455
24	2012-08-01	0.4140731250	0.1154346250
19	2012-08-02	0.2857838947	0.1447618421
15	2012-09-06	0.2866475333	0.2181252667
51	2012-09-07	0.2489450784	0.2841593529
42	2012-09-08	0.2055012857	0.1192497381
23	2012-09-09	0.0956817826	0.2490086522
16	2012-09-10	0.0720448750	0.2807618125
22	2012-09-13	0.0560087273	0.7574335000
41	2012-09-14	0.0325915854	0.9271977561
44	2012-09-15	0.0280740227	0.1456085682
14	2012-09-16	0.0841194286	0.3818580000
15	2012-09-19	0.0757010000	1.0951760667
27	2012-09-20	0.1644941852	0.2724004815
31	2012-09-21	0.1749617742	0.1028679032
23	2012-09-22	0.2681861304	0.2708532174
24	2012-09-27	0.0906636250	0.5684596667
23	2012-09-28	0.0744338261	0.8338501739
38	2012-09-29	0.1032444211	0.9788343947
22	2012-09-30	0.0397925000	0.1511198636
15	2012-10-01	0.0560389333	0.1637219333
22	2012-10-07	0.1971373636	0.3802613182
18	2012-10-20	0.0435979444	0.1783861667
42	2012-10-21	0.0178438095	-0.2809077381
34	2012-10-22	0.0195607353	-0.0264163235
24	2012-10-23	0.0356499583	0.5648922917
37	2012-10-24	0.0281960811	0.1664428919
39	2012-10-25	0.0419833333	0.1726128718
22	2012-10-27	0.0890810909	0.0995017727
37	2012-10-29	0.0564565135	1.1523991081
35	2012-10-30	0.0705162571	0.3224756857
35	2012-10-31	0.1014299429	1.2592129143
40	2012-11-01	0.1506571750	0.0884002500
33	2012-11-02	0.1105481818	0.3339516364
20	2012-11-04	0.0288182000	0.3164199000
41	2012-11-05	0.0343546829	0.3057561220
27	2012-11-06	0.0342195926	0.0793862593
17	2012-11-07	0.0360478824	0.0795125294
