2014-01-25;11 23
2014-01-25;12 23
2014-01-25;13 24
2014-01-25;14 28
2014-01-25;15 27
2014-01-25;16 29
2014-01-25;17 31
2014-01-25;18 31
2014-01-25;19 30
2014-01-25;20 30
2014-01-25;21 27
2014-01-25;22 24
2014-01-25;23 23
2014-01-26;00 24
2014-01-26;01 22
2014-01-26;02 23
2014-01-26;03 22
2014-01-26;04 24
2014-01-26;05 21
2014-01-26;06 20
2014-01-26;07 20
2014-01-26;08 22
2014-01-26;09 25
2014-01-26;10 28
2014-01-26;11 27
2014-01-26;12 27
2014-01-26;13 27
2014-01-26;14 21
2014-01-26;15 21
2014-01-26;16 22
2014-01-26;17 24
2014-01-26;18 23
2014-01-26;19 20
2014-01-26;20 21
2014-01-26;21 21
2014-01-26;22 20
2014-01-26;23 16
2014-01-27;00 14
2014-01-27;01 15
2014-01-27;02 12
2014-01-27;03 15
2014-01-27;04 21
2014-01-27;05 23
2014-01-27;06 20
2014-01-27;07 20
2014-01-27;08 21
2014-01-27;09 28
2014-01-27;10 31
2014-01-27;11 30
2014-01-27;12 29
2014-01-27;13 29
2014-01-27;14 27
2014-01-27;15 27
2014-01-27;16 27
2014-01-27;17 27
2014-01-27;18 25
2014-01-27;19 25
2014-01-27;20 25
2014-01-27;21 27
2014-01-27;22 27
2014-01-27;23 29
2014-01-28;00 28
2014-01-28;01 27
2014-01-28;02 27
2014-01-28;03 27
2014-01-28;04 25
2014-01-28;05 23
2014-01-28;06 21
2014-01-28;07 26
2014-01-28;08 30
2014-01-28;09 29
2014-01-28;10 32
2014-01-28;11 27
2014-01-28;12 27
2014-01-28;13 28
2014-01-28;14 26
2014-01-28;15 25
2014-01-28;16 24
2014-01-28;17 29
2014-01-28;18 25
2014-01-28;19 28
2014-01-28;20 30
2014-01-28;21 23
2014-01-28;22 21
2014-01-28;23 19
2014-01-29;00 21
2014-01-29;01 21
2014-01-29;02 21
2014-01-29;03 18
2014-01-29;04 16
2014-01-29;05 16
2014-01-29;06 17
2014-01-29;07 16
2014-01-29;08 20
2014-01-29;09 15
2014-01-29;10 16
2014-01-29;11 18
2014-01-29;12 16
2014-01-29;13 19
2014-01-29;14 22
2014-01-29;15 18
2014-01-29;16 22
2014-01-29;17 19
2014-01-29;18 21
2014-01-29;19 24
2014-01-29;20 24
2014-01-29;21 23
2014-01-29;22 19
2014-01-29;23 19
2014-01-30;00 18
2014-01-30;01 16
2014-01-30;02 16
2014-01-30;03 18
2014-01-30;04 20
2014-01-30;05 21
2014-01-30;06 18
2014-01-30;07 16
2014-01-30;08 20
2014-01-30;09 21
2014-01-30;10 30
2014-01-30;11 32
2014-01-30;12 26
2014-01-30;13 25
2014-01-30;14 29
2014-01-30;15 26
2014-01-30;16 25
2014-01-30;17 28
2014-01-30;18 30
2014-01-30;19 29
2014-01-30;20 30
2014-01-30;21 24
2014-01-30;22 24
2014-01-30;23 23
2014-01-31;00 22
2014-01-31;01 18
2014-01-31;02 16
2014-01-31;03 16
2014-01-31;04 15
2014-01-31;05 15
2014-01-31;06 15
2014-01-31;07 21
2014-01-31;08 25
2014-01-31;09 23
2014-01-31;10 22
2014-01-31;11 20
2014-01-31;12 22
2014-01-31;13 26
2014-01-31;14 28
2014-01-31;15 22
2014-01-31;16 20
2014-01-31;17 24
2014-01-31;18 27
2014-01-31;19 27
2014-01-31;20 24
2014-01-31;21 22
2014-01-31;22 19
2014-01-31;23 17
2014-02-01;00 17
2014-02-01;01 12
2014-02-01;02 12
2014-02-01;03 15
2014-02-01;04 13
2014-02-01;05 13
2014-02-01;06 12
2014-02-01;07 15
2014-02-01;08 14
2014-02-01;09 15
2014-02-01;10 15
2014-02-01;11 18
2014-02-01;12 17
2014-02-01;13 20
2014-02-01;14 20
2014-02-01;15 22
2014-02-01;16 21
2014-02-01;17 22
2014-02-01;18 27
2014-02-01;19 30
2014-02-01;20 30
2014-02-01;21 28
2014-02-01;22 25
2014-02-01;23 25
2014-02-02;00 23
2014-02-02;01 25
2014-02-02;02 24
2014-02-02;03 25
2014-02-02;04 25
2014-02-02;05 26
2014-02-02;06 24
2014-02-02;07 24
2014-02-02;08 24
2014-02-02;09 26
2014-02-02;10 28
2014-02-02;11 25
2014-02-02;12 25
2014-02-02;13 24
2014-02-02;14 23
2014-02-02;15 26
2014-02-02;16 25
2014-02-02;17 25
2014-02-02;18 24
2014-02-02;19 24
2014-02-02;20 23
2014-02-02;21 20
2014-02-02;22 18
2014-02-02;23 19
2014-02-03;00 15
2014-02-03;01 17
2014-02-03;02 21
2014-02-03;03 21
2014-02-03;04 23
2014-02-03;05 24
2014-02-03;06 23
2014-02-03;07 24
2014-02-03;08 23
2014-02-03;09 26
2014-02-03;10 26
2014-02-03;11 27
2014-02-03;12 24
2014-02-03;13 24
2014-02-03;14 21
2014-02-03;15 20
2014-02-03;16 20
2014-02-03;17 22
2014-02-03;18 26
2014-02-03;19 25
2014-02-03;20 22
2014-02-03;21 21
2014-02-03;22 18
2014-02-03;23 17
2014-02-04;00 15
2014-02-04;01 16
2014-02-04;02 15
2014-02-04;03 13
2014-02-04;04 14
2014-02-04;05 16
2014-02-04;06 15
2014-02-04;07 18
2014-02-04;08 16
2014-02-04;09 20
2014-02-04;10 23
2014-02-04;11 21
2014-02-04;12 19
2014-02-04;13 17
2014-02-04;14 23
2014-02-04;15 19
2014-02-04;16 17
2014-02-04;17 18
2014-02-04;18 18
2014-02-04;19 20
2014-02-04;20 19
2014-02-04;21 16
2014-02-04;22 14
2014-02-04;23 15
2014-02-05;00 13
2014-02-05;01 14
2014-02-05;02 15
2014-02-05;03 14
2014-02-05;04 14
2014-02-05;05 16
2014-02-05;06 14
2014-02-05;07 16
2014-02-05;08 21
2014-02-05;09 20
2014-02-05;10 22
2014-02-05;11 27
2014-02-05;12 24
2014-02-05;13 24
2014-02-05;14 24
2014-02-05;15 23
2014-02-05;16 23
2014-02-05;17 24
2014-02-05;18 24
2014-02-05;19 22
2014-02-05;20 20
2014-02-05;21 18
2014-02-05;22 16
2014-02-05;23 16
2014-02-06;00 14
2014-02-06;01 13
2014-02-06;02 13
2014-02-06;03 10
2014-02-06;04 14
2014-02-06;05 13
2014-02-06;06 12
2014-02-06;07 14
2014-02-06;08 15
2014-02-06;09 16
2014-02-06;10 27
2014-02-06;11 29
2014-02-06;12 19
2014-02-06;13 22
2014-02-06;14 20
2014-02-06;15 20
2014-02-06;16 21
2014-02-06;17 20
2014-02-06;18 24
2014-02-06;19 27
2014-02-06;20 24
2014-02-06;21 18
2014-02-06;22 16
2014-02-06;23 18
2014-02-07;00 11
2014-02-07;01 11
2014-02-07;02 6
2014-02-07;03 8
2014-02-07;04 12
2014-02-07;05 15
2014-02-07;06 17
2014-02-07;07 24
2014-02-07;08 26
2014-02-07;09 26
2014-02-07;10 27
2014-02-07;11 26
2014-02-07;12 25
2014-02-07;13 25
2014-02-07;14 26
2014-02-07;15 26
2014-02-07;16 20
2014-02-07;17 22
2014-02-07;18 23
2014-02-07;19 19
2014-02-07;20 17
2014-02-07;21 17
2014-02-07;22 15
2014-02-07;23 16
2014-02-08;00 14
2014-02-08;01 16
2014-02-08;02 20
2014-02-08;03 20
2014-02-08;04 20
2014-02-08;05 23
2014-02-08;06 24
2014-02-08;07 23
2014-02-08;08 25
2014-02-08;09 26
2014-02-08;10 23
2014-02-08;11 26
2014-02-08;12 27
2014-02-08;13 25
2014-02-08;14 26
2014-02-08;15 26
2014-02-08;16 27
2014-02-08;17 28
2014-02-08;18 28
2014-02-08;19 26
2014-02-08;20 24
2014-02-08;21 22
2014-02-08;22 20
2014-02-08;23 21
2014-02-09;00 22
2014-02-09;01 21
2014-02-09;02 18
2014-02-09;03 19
2014-02-09;04 24
2014-02-09;05 25
2014-02-09;06 26
2014-02-09;07 27
2014-02-09;08 27
2014-02-09;09 30
2014-02-09;10 34
2014-02-09;11 31
2014-02-09;12 32
2014-02-09;13 22
2014-02-09;14 18
2014-02-09;15 17
2014-02-09;16 21
2014-02-09;17 28
2014-02-09;18 31
2014-02-09;19 35
2014-02-09;20 32
2014-02-09;21 32
2014-02-09;22 28
2014-02-09;23 28
2014-02-10;00 28
2014-02-10;01 26
2014-02-10;02 29
2014-02-10;03 28
2014-02-10;04 27
2014-02-10;05 27
2014-02-10;06 27
2014-02-10;07 25
2014-02-10;08 36
2014-02-10;09 35
2014-02-10;10 25
2014-02-10;11 26
2014-02-10;12 29
2014-02-10;13 26
2014-02-10;14 32
2014-02-10;15 32
2014-02-10;16 28
2014-02-10;17 29
2014-02-10;18 31
2014-02-10;19 32
2014-02-10;20 22
2014-02-10;21 19
2014-02-10;22 19
2014-02-10;23 19
2014-02-11;00 19
2014-02-11;01 21
2014-02-11;02 21
2014-02-11;03 19
2014-02-11;04 20
2014-02-11;05 20
2014-02-11;06 18
2014-02-11;07 21
2014-02-11;08 28
2014-02-11;09 31
2014-02-11;10 32
2014-02-11;11 29
2014-02-11;12 30
2014-02-11;13 32
2014-02-11;14 33
2014-02-11;15 37
2014-02-11;16 33
2014-02-11;17 32
2014-02-11;18 33
2014-02-11;19 33
2014-02-11;20 29
2014-02-11;21 24
2014-02-11;22 25
2014-02-11;23 23
2014-02-12;00 20
2014-02-12;01 19
2014-02-12;02 23
2014-02-12;03 21
2014-02-12;04 24
2014-02-12;05 25
2014-02-12;06 27
2014-02-12;07 29
2014-02-12;08 34
2014-02-12;09 38
2014-02-12;10 42
2014-02-12;11 40
2014-02-12;12 42
2014-02-12;13 39
2014-02-12;14 36
2014-02-12;15 36
2014-02-12;16 
2014-02-12;17 
2014-02-12;18 
2014-02-12;19 40
2014-02-12;20 39
2014-02-12;21 37
2014-02-12;22 33
2014-02-12;23 31
2014-02-13;00 29
2014-02-13;01 30
2014-02-13;02 29
2014-02-13;03 29
2014-02-13;04 30
2014-02-13;05 28
2014-02-13;06 29
2014-02-13;07 32
2014-02-13;08 36
2014-02-13;09 41
