date	avg(pm10)
2003-08-26	17.4285714
2003-08-27	25.2608696
2003-08-28	23.8181818
2003-08-29	24.5500000
2003-08-30	20.8636364
2003-08-31	15.9583333
2003-09-01	24.4545455
2003-09-02	18.2000000
2003-09-03	18.8636364
2003-09-04	24.7916667
2003-09-05	26.1666667
2003-09-06	19.0434783
2003-09-07	18.0000000
2003-09-08	22.8181818
2003-09-09	25.5909091
2003-09-10	28.0000000
2003-09-11	20.4000000
2003-09-12	21.0952381
2003-09-13	23.6666667
2003-09-14	20.4500000
2003-09-15	29.3333333
2003-09-16	28.4761905
2003-09-17	19.3913043
2003-09-18	21.6666667
2003-09-19	21.4166667
2003-09-20	19.4583333
2003-09-21	19.8750000
2003-09-22	26.0416667
2003-09-23	28.0000000
2003-09-24	20.9130435
2003-09-25	21.5714286
2003-09-26	17.1428571
2003-09-27	19.9166667
2003-09-28	19.2916667
2003-09-29	19.0476190
2003-09-30	16.4545455
2003-10-01	20.4782609
2003-10-02	14.8260870
2003-10-03	23.6000000
2003-10-04	27.0909091
2003-10-05	22.2916667
2003-10-06	22.5217391
2003-10-07	22.8750000
2003-10-08	22.6818182
2003-10-09	24.0454545
2003-10-10	29.8260870
2003-10-11	25.0434783
2003-10-12	18.8636364
2003-10-13	19.2500000
2003-10-14	27.4782609
2003-10-15	32.4090909
2003-10-16	16.9565217
2003-10-17	21.5500000
2003-10-18	21.9047619
2003-10-19	21.4782609
2003-10-20	26.6818182
2003-10-21	24.6250000
2003-10-22	25.2916667
2003-10-23	24.7500000
2003-10-24	21.4782609
2003-10-25	17.9166667
2003-10-26	17.5217391
2003-10-27	18.7000000
2003-10-28	21.6666667
2003-10-29	28.0000000
2003-10-30	28.8750000
2003-10-31	23.2916667
2003-11-01	15.3750000
2003-11-02	11.1666667
2003-11-03	19.8888889
2003-11-04	24.1666667
2003-11-05	17.5416667
2003-11-06	13.6250000
2003-11-07	14.8333333
2003-11-08	17.1250000
2003-11-09	20.8333333
2003-11-10	53.0416667
2003-11-11	26.6666667
2003-11-12	20.2083333
2003-11-13	15.5833333
2003-11-14	20.2083333
2003-11-15	18.6250000
2003-11-16	19.0000000
2003-11-17	11.3076923
2003-11-18	15.1250000
2003-11-19	13.0000000
2003-11-20	18.3333333
2003-11-21	18.9583333
2003-11-22	13.5416667
2003-11-23	10.0416667
2003-11-24	13.3750000
2003-11-25	13.1666667
2003-11-26	16.2916667
2003-11-27	21.8333333
2003-11-28	20.0000000
2003-11-29	24.7083333
2003-11-30	19.0000000
2003-12-01	14.6666667
2003-12-02	12.7500000
2003-12-03	11.6666667
2003-12-04	12.6666667
2003-12-05	16.7916667
2003-12-06	22.2083333
2003-12-07	32.8333333
2003-12-08	27.5416667
2003-12-09	23.2916667
2003-12-10	17.4583333
2003-12-11	21.3750000
2003-12-12	20.6250000
2003-12-13	37.7916667
2003-12-14	51.1250000
2003-12-15	51.0869565
2003-12-16	29.0416667
2003-12-17	83.8636364
2003-12-18	60.3478261
2003-12-19	48.2500000
2003-12-20	32.4583333
2003-12-21	27.3750000
2003-12-22	29.1250000
2003-12-23	22.4583333
2003-12-24	15.9166667
2003-12-25	17.4166667
2003-12-26	14.2083333
2003-12-27	14.2916667
2003-12-28	10.0000000
2003-12-29	24.4166667
2003-12-30	28.4583333
2003-12-31	12.2608696
2004-01-01	33.9166667
2004-01-02	47.5833333
2004-01-03	27.7916667
2004-01-04	20.7083333
2004-01-05	16.7083333
2004-01-06	29.9565217
2004-01-07	23.7916667
2004-01-08	12.9583333
2004-01-09	19.7083333
2004-01-10	26.0416667
2004-01-11	14.3750000
2004-01-12	21.7500000
2004-01-13	24.0833333
2004-01-14	38.1666667
2004-01-15	54.6250000
2004-01-16	39.4166667
2004-01-17	27.8750000
2004-01-18	14.8333333
2004-01-19	13.7916667
2004-01-20	16.1250000
2004-01-21	18.1250000
2004-01-22	15.8750000
2004-01-23	14.2500000
2004-01-24	12.7500000
2004-01-25	11.0833333
2004-01-26	13.8260870
2004-01-27	13.5833333
2004-01-28	17.4347826
2004-01-29	23.1666667
2004-01-30	25.4583333
2004-01-31	28.0416667
2004-02-01	29.1250000
2004-02-02	36.3750000
2004-02-03	40.3750000
2004-02-04	35.5833333
2004-02-05	24.9583333
2004-02-06	28.6521739
2004-02-07	38.8750000
2004-02-08	52.0416667
2004-02-09	146.1250000
2004-02-10	74.7500000
2004-02-11	72.0833333
2004-02-12	47.8333333
2004-02-13	32.4166667
2004-02-14	21.6250000
2004-02-15	24.1250000
2004-02-16	60.4166667
2004-02-17	173.1666667
2004-02-18	147.7916667
2004-02-19	80.5416667
2004-02-20	54.7916667
2004-02-21	39.0833333
2004-02-22	32.1666667
2004-02-23	31.2916667
2004-02-24	31.8333333
