date	pm10
2012-09-22	45.458
2012-09-23	48.458
2012-09-24	31.292
2012-10-11	30.875
2012-10-16	37.958
2012-11-22	51.227
2012-11-23	31.042
2012-11-24	39.208
2012-11-25	42.458
2012-11-26	52.292
2012-11-27	54.375
2012-11-28	60.542
2012-11-29	49.833
2012-11-30	63.083
2012-12-11	49.375
2012-12-12	62.750
2012-12-14	108.556
2013-05-05	30.263
2013-05-06	38.746
2013-05-07	38.607
2013-05-19	30.571
2013-05-27	36.213
2013-05-28	41.888
2013-05-29	37.538
2013-05-30	46.196
2013-05-31	32.688
2013-06-02	30.367
2013-06-03	34.171
2013-06-04	44.008
2013-06-05	36.021
2013-06-11	44.200
2013-06-12	40.063
2013-06-13	31.363
2013-06-14	61.650
2013-06-15	54.500
2013-06-16	43.167
2013-06-17	33.896
2013-06-18	51.092
2013-06-19	34.400
2013-06-20	41.746
2013-06-23	38.858
2013-06-24	32.483
2013-06-26	35.842
2013-06-27	41.421
2013-06-28	44.025
2013-06-30	37.317
2013-07-01	50.408
2013-07-04	49.800
2013-07-05	36.875
2013-07-09	32.242
2013-07-10	43.858
2013-07-11	51.329
2013-07-16	36.163
2013-07-18	42.035
2013-07-19	58.504
2013-07-20	35.583
2013-07-23	53.025
2013-07-24	60.263
2013-07-25	43.092
2013-08-02	37.254
2013-08-03	51.146
2013-08-04	31.513
2013-08-10	32.221
2013-08-11	37.375
2013-08-12	46.633
2013-08-14	49.650
2013-08-23	37.600
2013-08-24	31.904
2013-08-28	33.296
2013-08-30	32.375
2013-09-08	61.388
2013-09-09	48.963
2013-09-18	40.888
2013-09-19	59.433
2013-09-20	53.908
2013-09-21	58.738
2013-09-22	37.479
2013-09-30	65.704
2013-10-01	42.488
2013-10-09	38.171
2013-10-13	51.921
2013-10-14	36.179
2013-10-21	36.488
2013-10-22	51.063
2013-10-23	35.908
2013-10-25	38.804
2013-10-29	44.792
2013-11-10	39.175
2013-11-11	40.983
2013-11-29	30.175
2013-12-09	30.309
2013-12-10	30.454
2013-12-12	31.513
2013-12-16	30.542
2013-12-17	32.179
2013-12-21	30.504
2013-12-26	39.150
2014-01-04	32.396
2014-01-05	33.854
2014-01-07	30.038
2014-01-10	30.575
2014-01-18	43.413
2014-01-19	49.650
2014-01-20	34.433
2014-12-12	30.138
2015-01-10	34.776
2015-02-13	30.029
2015-03-02	61.538
2015-03-03	47.867
