"","date","powerdry","powerhumid","powerwind","stdpowerwind","cape","cape_virt","station_name","powerall","normed_dry","normed_humid","normed_wind","normed_cape","normed_cape_virt"
"11852","2008-05-01",528,583,1,0,215.28,342.66,"pr",1112,-0.506736399295094,-0.912693312326382,-1.05825242718447,-0.820004559443748,-0.920468070315874
"11853","2008-05-02",505,436,0.2,0.41,706.84,865.34,"pr",941.2,-0.637485077596498,-1.06506281354948,-1.83495145631068,-0.259694517268893,-0.402725846033936
"11854","2008-05-03",509,125,1.22,0.67,279.98,346.11,"pr",635.22,-0.614746177022341,-1.38742277872217,-0.844660194174757,-0.746255556822068,-0.85232191946747
"11855","2008-05-04",473,1304,1.1,0.32,602.8,722.29,"pr",1778.1,-0.819396282189756,-0.165357187279738,-0.961165048543689,-0.378285649150804,-0.512307384430658
"11856","2008-05-05",1131,4445,1.67,0.5,4,6.96,"pr",5577.67,2.92115286225911,3.09037480824246,-0.407766990291262,-1.06083437820586,-1.14300159042794
"11857","2008-05-06",728,3376,0.91,0.3,1072.9,1335.85,"pr",4104.91,0.630208629412768,1.98232721091256,-1.14563106796116,0.157562977316768,-0.0171681956542346
"11858","2008-05-07",645,1441,1.5,0.53,2985.21,3299.17,"pr",2087.5,0.158376442499005,-0.0233529582486836,-0.572815533980582,2.33733044568563,1.99699819891935
"11859","2008-05-08",586,1546,2.25,0.45,1639.5,1851.65,"pr",2134.25,-0.177022340969814,0.0854823997678179,0.155339805825243,0.803408184201527,0.579610924449406
"11860","2008-05-09",202,2157,2,0,850.94,952.04,"pr",2361,-2.35995679608891,0.718800530701936,-0.0873786407766989,-0.0954405562521371,-0.250950570342205
"11861","2008-05-10",427,2500,2.67,0.5,1241.32,1377.53,"pr",2929.67,-1.08089363879256,1.07432936688917,0.563106796116505,0.349538356320529,0.160222449259029
"11862","2008-05-11",400,2656,2.14,0.9,821.92,974.55,"pr",3058.14,-1.23438121766813,1.23602761308512,0.0485436893203886,-0.128519320642882,-0.281516278187966
"11863","2008-05-12",820,2167,2.11,0.93,621.81,769.86,"pr",2989.11,1.15320334261838,0.729165802893984,0.0194174757281554,-0.356616892739086,-0.492284844590965
