"","date","powerdry","powerhumid","stdpowerwind","powerall","cape","cape_virt","pm10_mean","pm10_std","pm10_nbValues"
"176",1990-06-16,506,1447,1.15,1954.67,1222.7,1482.28,"31","3,74",7
"177",1990-06-20,655,1285,0.41,1944.17,738.67,930.18,"65",NA,1
"178",1990-06-22,379,2057,0.58,2439.33,924.1,1141.93,"67,25","18,16",8
"179",1990-06-26,677,1234,0.58,1916.67,1938.64,2227.7,"74",NA,1
"180",1990-06-28,647,1344,0,1995,2023.6,2293.84,"33,4","11,26",5
"181",1990-06-30,635,845,0.52,1483.67,1722.39,1977.18,"72",NA,1
"182",1990-07-02,893,2593,0,3491,640.26,862.24,"79",NA,1
"183",1990-07-04,501,215,0.52,718.38,2338.8,2501.67,"30,5","2,59",6
"184",1990-07-08,593,1418,0.52,2014.67,521.61,761.83,"39",NA,1
"185",1990-07-14,603,420,0.71,1026.5,2218.57,2424.93,"31",NA,1
"186",1990-07-18,715,3263,0.52,3979.62,1712.65,2033.52,"27",NA,1
"187",1990-07-20,624,2456,0.76,3086.5,1789.03,2108.23,"68",NA,1
"188",1990-07-22,505,239,0.44,745.78,476.77,557.69,"49,4","10,74",10
"189",1990-07-26,683,2122,0.75,2808.17,1280.51,1562.86,"42",NA,1
"190",1990-07-28,604,1386,0.93,1993.11,2664.59,2996.45,"49,7","8,54",10
"191",1990-07-30,483,1305,0.49,1791.33,1813.93,2071.49,"46",NA,1
"192",1990-08-23,507,2640,0.44,3148.22,1496.39,1758.77,"26",NA,1
"193",1990-08-25,537,346,0.44,885.78,2228.52,2482.87,"59",NA,1
"194",1990-08-27,495,175,0,671,1186.26,1351.09,"64,92","7,5",12
"195",1990-08-31,743,2399,0,3146,1789.84,2089.57,"51",NA,1
"196",1990-09-08,452,610,0,1064,2114.68,2351.26,"27","9,33",11
"197",1990-09-10,457,1081,0,1539,1099.36,1343.07,"25",NA,1
"198",1990-09-12,596,1263,0.47,1860.27,1532.29,1823.73,"24",NA,1
"199",1990-09-14,584,554,0.38,1140.14,2118.51,2326.64,"20,73","8,28",11
"200",1990-09-16,520,321,0.53,843.5,2126.77,2360.43,"26",NA,1
"201",1990-09-18,551,788,0,1342,2046.64,2310.24,"51",NA,1
"202",1990-09-20,502,356,0.52,859.62,1966.08,2199.1,"64","12,75",10
"203",1990-09-22,598,318,0.53,916.57,1781.03,1996.53,"23",NA,1
"204",1990-09-24,540,550,0,1091,2233.04,2459.83,"38",NA,1
"205",1990-09-26,595,1425,0.47,2021.27,1713.9,1979.19,"18,75","5,91",12
"206",1990-09-28,578,950,0.5,1528.64,1105.69,1382.4,"26",NA,1
"207",1990-09-30,507,878,0,1387,2632.52,2918.98,"16",NA,1
"208",1990-12-31,676,851,0.52,1530.53,554.19,756.54,"19,73","4,24",11
"209",1991-01-18,634,2479,0.69,3115.55,27.65,84.59,"29","10,71",4
"210",1991-01-24,860,2370,0,3234,18.91,48.32,"22","5,23",4
"211",1991-01-30,1008,2933,0.73,3945.56,90.95,131.98,"32,25","7,5",4
"212",1991-02-08,479,698,1.41,1179,829.36,1034.85,"41",NA,1
"213",1991-02-11,661,1200,0.71,1862.5,179.59,349.46,"19","4",3
"214",1991-02-13,355,1132,0.46,1489.75,43.35,85.99,"33","2,83",2
"215",1991-02-17,660,2775,0,3437,102.11,176.98,"19,7","4,62",10
"216",1991-02-18,535,1067,0.88,1605.1,47.67,84.04,"15",NA,1
