"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/28/1981","AQS","721370003","1","0.009","ppm","8","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"03/29/1981","AQS","721370003","1","0.019","ppm","18","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"03/30/1981","AQS","721370003","1","0.02","ppm","19","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"03/31/1981","AQS","721370003","1","0.02","ppm","19","","13","76.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/01/1981","AQS","721370003","1","0.014","ppm","13","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/02/1981","AQS","721370003","1","0.014","ppm","13","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/03/1981","AQS","721370003","1","0.008","ppm","7","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/04/1981","AQS","721370003","1","0.014","ppm","13","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/05/1981","AQS","721370003","1","0.011","ppm","10","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/06/1981","AQS","721370003","1","0.031","ppm","29","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/07/1981","AQS","721370003","1","0.03","ppm","28","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/08/1981","AQS","721370003","1","0.022","ppm","20","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/09/1981","AQS","721370003","1","0.022","ppm","20","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/10/1981","AQS","721370003","1","0.027","ppm","25","","13","76.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/11/1981","AQS","721370003","1","0.03","ppm","28","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/12/1981","AQS","721370003","1","0.028","ppm","26","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/13/1981","AQS","721370003","1","0.029","ppm","27","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/14/1981","AQS","721370003","1","0.024","ppm","22","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/15/1981","AQS","721370003","1","0.026","ppm","24","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/16/1981","AQS","721370003","1","0.026","ppm","24","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/17/1981","AQS","721370003","1","0.033","ppm","31","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/18/1981","AQS","721370003","1","0.031","ppm","29","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/19/1981","AQS","721370003","1","0.036","ppm","33","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/20/1981","AQS","721370003","1","0.031","ppm","29","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/21/1981","AQS","721370003","1","0.009","ppm","8","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
"04/22/1981","AQS","721370003","1","0.006","ppm","6","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","137","Toa Baja","18.425502551","-66.172389388"
