date,aot1020
2008-05-21,0.0838603871
2008-05-22,0.0649624211
2008-05-23,0.0749797500
2008-05-24,0.0685834857
2008-05-25,0.0626921176
2008-05-26,0.0995776800
2008-05-28,0.2692557500
2008-05-29,0.5143280000
2008-05-30,0.0781190000
2008-05-31,0.0749484848
2008-06-01,0.1190981429
2008-06-02,0.1076273333
2008-06-03,0.0680356818
2008-06-05,0.0787331250
2008-06-06,0.0872900000
2008-06-07,0.2765866000
2008-06-08,0.2783675000
2008-06-09,0.1713061875
2008-06-10,0.1093756538
2008-06-11,0.1370558158
2008-06-12,0.3327128889
2008-06-13,0.0457560000
2008-06-14,0.2422354286
2008-06-15,0.1981086667
2008-06-16,0.2154281111
2008-06-17,0.1399898462
2008-06-18,0.3197682500
2008-06-19,0.4354022500
2008-06-22,0.5363405000
2008-06-24,1.2263240000
2008-06-25,0.6181815000
2008-06-26,0.3139703333
2008-06-30,0.4686620000
2008-07-01,0.2811425263
2008-07-02,0.3054660000
2008-07-04,0.1276479167
2008-07-05,0.1443467222
2008-07-06,0.2741603333
2008-07-07,0.1555870000
2008-07-08,0.1022646667
2008-07-09,0.1386717368
2008-07-10,0.3269946400
2008-07-11,0.3795108750
2008-07-12,0.1899468571
2008-07-13,0.0869955556
2008-07-14,0.3626774000
2008-07-15,0.2727962500
2008-07-16,0.1878825000
2008-07-17,0.1737953333
2008-07-18,0.2730804444
2008-07-19,0.2415254211
2008-07-20,0.3864579333
2008-07-21,0.4814287778
2008-07-22,0.2847984000
2008-07-23,0.1281078857
2008-07-24,0.0793071389
2008-07-25,0.1799427619
2008-07-26,0.2140826296
2008-07-27,0.1102935556
2008-07-28,0.1041140238
2008-07-29,0.2712109412
2008-07-30,0.5724023750
2008-08-01,0.2320793000
2008-08-02,0.2630546522
2008-08-03,0.2535390541
2008-08-04,0.1795198000
2008-08-05,0.1732889545
2008-08-06,0.6542092121
2008-08-07,0.1289155667
2008-08-08,0.0790332250
2008-08-09,0.2168752000
2008-08-10,0.3310821818
2008-08-11,0.2730175000
2008-09-07,0.2574145000
2008-09-08,0.0412991818
2008-09-09,0.7043335000
2009-03-12,0.3151050000
2009-03-13,0.0548470000
2009-03-14,0.0755320000
2009-03-15,0.0463974000
2009-03-16,0.0294709063
2009-03-17,0.0728574688
2009-03-18,0.0499235185
2009-03-19,0.0414565417
2009-03-20,0.0450789024
2009-03-21,0.0643182500
2009-03-22,0.0269545000
2009-03-23,0.0428688000
2009-03-26,0.1090223333
2009-03-27,0.1002777500
2009-03-28,0.1125013077
2009-03-29,0.0754410909
2009-03-30,0.0546070000
2009-03-31,0.0774502727
2009-04-01,0.0568858462
2009-04-02,0.0358186429
2009-04-03,0.0349246667
2009-04-04,0.2730065000
2009-04-05,0.0290950625
2009-04-06,0.0277248462
2009-04-07,0.0261391364
2009-04-08,0.0487068214
2009-04-10,0.0784826667
2009-04-11,0.0474267333
2009-04-12,0.0627554211
2009-04-13,0.0747225385
2009-04-14,0.0569605000
2009-04-15,0.0530223913
2009-04-16,0.0664568636
2009-04-17,0.0504072609
2009-04-18,0.0682240588
2009-04-23,0.0398915000
2009-04-24,0.0414816000
2009-04-25,0.0600307500
2009-04-26,0.0732828000
2009-04-27,0.0496654167
2009-04-28,0.0818670000
2009-04-29,0.1109115000
2009-04-30,0.0633604444
2009-05-01,0.0336480000
2009-05-02,0.1186293333
2009-05-03,0.1709715000
2009-05-04,0.1576558571
2009-05-05,0.1382345000
2009-05-11,0.0590580769
2009-05-12,0.1039035000
2009-05-13,0.0684015000
2009-05-14,0.0948736250
2009-05-15,0.0989757222
2009-05-16,0.1015486667
2009-05-17,0.0974895000
2009-05-18,0.3056450000
2009-05-19,0.1975720000
2009-05-20,0.1511647143
2009-05-21,0.0982677143
2009-05-24,0.1064727083
2009-05-25,0.1207353571
2009-05-26,0.2681774286
2009-05-27,0.3585145333
2009-05-28,0.3260470455
2009-05-31,0.0475638667
2009-06-01,0.1284358235
2009-06-02,0.1282745000
2009-06-03,0.1040499167
2009-06-04,0.0498925000
2009-06-05,0.0542566957
2009-06-06,0.1275280000
2009-06-07,0.2993285714
2009-06-08,0.3809623226
2009-06-09,0.2965879231
2009-06-10,0.1520504048
2009-06-11,0.1781180000
2009-06-12,0.0981478000
2009-06-13,0.3232997917
2009-06-14,0.1588665625
2009-06-15,0.1234972667
2009-06-16,0.3508790000
2009-06-17,0.2140461111
2009-06-18,0.1591340000
2009-06-19,0.1063978889
2009-06-20,0.0959908333
2009-06-22,0.0656904444
2009-06-23,0.0893860000
2009-06-24,0.1666120000
2009-06-25,0.5124858889
2009-06-26,0.6344583333
2009-06-27,0.3951177576
2009-06-28,0.3784064286
2009-06-29,0.1749318571
2009-06-30,0.0588458500
2009-07-01,0.1376538333
2009-07-02,0.3644267273
2009-07-03,0.4572711429
2009-07-04,0.3889840000
2009-07-06,0.5164442143
2009-07-07,0.1249014167
2009-07-08,0.0850722564
2009-07-09,0.1841728125
2009-07-10,0.2950876000
2009-07-11,0.2940146000
