nbdates	date	aot_440_daily	angstrom440_870	angstrom440_675
44	2010-08-13	0.0680483864	0.5115958182	0.6088227273
18	2010-08-15	0.1539611667	0.1610155000	0.1684772778
36	2010-08-18	0.3914926944	0.0602062778	0.0552589722
35	2010-08-19	0.2406214571	0.1207146286	0.1274254571
42	2010-08-20	0.0817051905	0.2570048095	0.3191555238
25	2010-08-21	0.1073150400	0.1498935600	0.1681286400
35	2010-08-22	0.0650358000	0.1837955714	0.2135298286
19	2010-08-23	0.0986496316	0.2533375789	0.2673886842
43	2010-08-25	0.1408544419	0.1229769535	0.1276822791
29	2010-08-26	0.0899330345	0.2189548966	0.2306580345
31	2010-08-27	0.0735361613	0.3558114194	0.4057955806
17	2010-08-31	0.1791349412	0.3235130588	0.3324480000
30	2010-09-02	0.3956943333	0.1574373000	0.1569940667
27	2010-09-03	0.4159776296	0.1939051481	0.1957563333
32	2010-09-04	0.1634274375	0.4005238438	0.4636772813
30	2010-09-05	0.1632693333	0.2654069333	0.3079077667
52	2010-09-06	0.0673976731	0.4132843654	0.4614649423
27	2010-09-07	0.0855881111	0.2837465185	0.3059293704
22	2010-09-08	0.0570770455	0.2910550909	0.3502935909
12	2010-09-11	0.0558480000	0.8859825000	1.0587340833
42	2010-09-12	0.0254598810	0.3213537857	0.4926577857
29	2010-09-13	0.0642962759	0.3225864483	0.4558438621
46	2010-09-14	0.0592565435	0.3605335000	0.4681056304
33	2010-09-15	0.1040282424	0.3170725455	0.4085749091
31	2010-09-16	0.1986728710	-0.0544518710	0.0080605484
12	2010-09-17	0.3582555833	0.2518689167	0.3275851667
16	2010-09-19	0.1467677500	0.5055418750	0.6594726250
20	2010-09-23	0.1048859000	0.1969433500	0.3645573000
18	2010-09-24	0.0727554444	0.4142474444	0.6036424444
35	2010-09-25	0.0713008571	0.6441461714	0.8903158571
15	2010-09-26	0.1188688667	0.6605961333	0.8474209333
29	2010-09-28	0.0293101379	0.0903626897	0.4583407931
22	2010-09-29	0.0675103182	0.0337336818	0.2421280000
12	2010-10-01	0.1524085833	-0.1889380000	-0.0964724167
38	2010-10-07	0.1276885000	0.3808701053	0.5168690526
15	2010-10-08	0.0992583333	-0.1654698000	-0.0429830000
29	2010-10-09	0.1022036552	0.4041928276	0.5348687586
32	2010-10-10	0.2409617813	1.0270348438	1.0979620313
46	2010-10-11	0.1178967174	0.8631196087	1.0001873696
29	2010-10-12	0.0801704483	0.1094882759	0.2325116897
38	2010-10-13	0.0873403421	0.2206280263	0.3394755000
35	2010-10-14	0.1203723143	0.0993569143	0.1476667143
34	2010-10-15	0.0609292647	-0.0063326176	0.1616957353
37	2010-10-16	0.0468185676	0.0742739730	0.2854638919
22	2010-10-17	0.0451674091	0.1679821818	0.4005462273
25	2010-10-18	0.0481636000	0.1182246400	0.3839773600
20	2010-10-19	0.0350302500	-0.0301145000	0.1982558000
24	2010-10-22	0.0517247917	-0.1769253333	-0.0177510417
25	2010-10-24	0.0640714800	-0.1870070400	-0.0579942800
12	2010-10-25	0.0548659167	-0.1750320000	0.0668483333
34	2010-10-27	0.0291183529	0.0408140000	0.3579635882
18	2010-10-28	0.0280475556	-0.1260992778	0.2119166111
14	2010-11-06	0.0404555714	-0.4029297857	-0.2216480000
16	2010-11-08	0.0726440000	0.3070593125	0.5357583125
24	2010-11-09	0.0703256250	-0.1000019167	0.0466567917
23	2010-11-10	0.0380530435	-0.0274987391	0.0997860870
18	2010-11-13	0.0895778889	-0.0308225000	0.0443256111
28	2010-11-14	0.0597127143	-0.0333184286	0.1231637857
16	2010-11-15	0.0529687500	0.0146386875	0.1843721875
17	2010-11-17	0.0435971765	-0.0036662353	0.1606210588
12	2010-11-30	0.1385054167	0.0034943333	0.0342326667
14	2010-12-01	0.0745026429	-0.0447822857	-0.0126046429
25	2010-12-06	0.0710582400	0.2167768000	0.2755574400
22	2010-12-07	0.1088784545	0.0528066364	0.0833626818
28	2010-12-11	0.0710399643	0.0037152143	0.0247667857
37	2010-12-12	0.0482142162	0.0181520811	0.0573556486
20	2010-12-13	0.0578967500	0.0740158000	0.1373531000
15	2010-12-14	0.0732545333	-0.0574204667	-0.0237560000
12	2010-12-18	0.0624045833	-0.0456580833	0.0144047500
13	2010-12-19	0.0465113077	0.0999717692	0.1447337692
21	2010-12-20	0.0604183333	0.0247738571	0.0676408095
23	2010-12-28	0.0615225652	0.0625555652	0.0999074348
13	2010-12-29	0.0581156923	-0.0120300769	0.0235534615
13	2010-12-30	0.0743555385	-0.1098202308	-0.0933955385
19	2010-12-31	0.0640525263	0.1957375789	0.2568675263
17	2011-01-02	0.0442192353	0.1436758235	0.1906805294
22	2011-01-03	0.0477595909	0.4423965000	0.5036068636
30	2011-01-04	0.0550935000	0.2985497667	0.3478735667
26	2011-01-05	0.1115174231	0.1842381923	0.2159400000
14	2011-01-10	0.1044712857	-0.0101390000	-0.0010485714
21	2011-01-15	0.1285680476	0.0623278571	0.0442250476
16	2011-01-21	0.0773561250	-0.2353218750	-0.2306797500
18	2011-01-23	0.0988572222	-0.1454496667	-0.1507063333
15	2011-01-30	0.0468987333	-0.2364819333	-0.3609638667
28	2011-02-05	0.0512704286	-0.0510011071	-0.0169505000
12	2011-02-06	0.1098796667	-0.1330179167	-0.1124769167
24	2011-02-18	0.0748216667	-0.2743767083	-0.2461251667
23	2011-02-19	0.0709254348	-0.0904996522	-0.0163800870
12	2011-02-20	0.0570154167	-0.1136655833	-0.0380366667
17	2011-02-21	0.0327462353	-0.5507448235	-0.4427004706
20	2011-03-02	0.0384718500	-0.2601645000	-0.2178318000
32	2011-03-03	0.0481471563	-0.3112705938	-0.2534110938
26	2011-03-04	0.1278786154	-0.0279420385	-0.0044964615
37	2011-03-05	0.1734673784	-0.0023550270	0.0270303243
27	2011-03-10	0.0588025185	-0.1090803704	-0.0054569259
38	2011-03-11	0.0320829737	0.0573769737	0.2125500526
16	2011-03-12	0.0449859375	0.3223440000	0.4816177500
28	2011-03-13	0.0307885357	-0.3628611429	-0.2338178571
12	2011-03-17	0.1028580833	0.2000003333	0.2729705833
23	2011-03-18	0.0431508261	-0.2785984348	-0.1796134783
31	2011-03-21	0.0233735484	-0.2539212258	-0.1143026129
16	2011-03-26	0.3030463125	0.2276341250	0.2726425000
20	2011-03-27	0.0816012500	-0.1591419500	-0.0936875000
13	2011-04-02	0.2430784615	0.2754313846	0.2754313846
24	2011-04-04	0.1718283750	0.3112727500	0.3112727500
13	2011-04-07	0.2061935385	0.2025825385	0.2025825385
22	2011-05-16	0.0782258182	0.5481573182	0.5481573182
24	2011-05-17	0.0647478750	0.6496875000	0.6496875000
36	2011-05-18	0.1315166944	0.2221883889	0.2221883889
20	2011-05-19	0.1037300000	0.3344732500	0.3344732500
18	2011-05-21	0.1301388333	0.2787800000	0.2787800000
23	2011-05-23	0.1838862609	0.2180246522	0.2180246522
44	2011-05-24	0.4377811818	0.1197134545	0.1197134545
28	2011-05-26	0.2902570000	0.1652695714	0.1652695714
20	2011-05-27	0.1733866000	0.2815142000	0.2815142000
19	2011-06-15	0.2875725789	0.2325995789	0.2325995789
22	2011-06-20	0.3080130000	0.1248178636	0.1248178636
26	2011-06-23	0.3331635385	0.1187951538	0.1187951538
36	2011-07-02	0.3643975000	0.5287851389	0.6973373333
14	2011-07-04	0.3482227143	0.2239191429	0.3054837143
18	2011-07-05	0.3239501667	0.2292002778	0.3512603333
22	2011-07-09	0.3503141364	0.3768549091	0.4993033182
23	2011-07-10	0.3009772609	0.5572800000	0.7046773478
33	2011-07-11	0.2509770303	0.4961648485	0.6800213030
13	2011-07-13	0.4253731538	0.3609154615	0.4322306154
26	2011-07-14	0.3842760769	0.2426690769	0.3549457308
29	2011-07-15	0.3422631724	0.3596176897	0.4813362759
28	2011-07-16	0.1643278571	0.5195284286	0.7762543214
16	2011-07-18	0.1405697500	0.3850478125	0.6207595625
28	2011-07-19	0.1430183214	0.2749815000	0.5817135714
33	2011-07-20	0.3834259394	0.2164586364	0.2677842121
29	2011-07-21	0.1969950345	0.4547304483	0.4547304483
21	2011-07-22	0.1061379048	0.7309076667	0.7309076667
20	2011-07-26	0.0952107000	1.0740279000	1.0740279000
26	2011-07-30	0.1747325385	0.2187419615	0.4015251154
23	2011-08-07	0.1591883913	0.3504794348	0.5972169130
31	2011-08-08	0.1165456774	0.5788133871	0.9065401935
29	2011-08-11	0.4023880690	0.1233399655	0.1701250690
38	2011-08-12	0.4511693421	0.1290412895	0.1684347105
41	2011-08-13	0.2802725854	0.1256830000	0.2311195854
21	2011-08-16	0.1296925238	0.2837497619	0.6005438571
